diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	M97.01XD	Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter	V5423	M9701XD	10000
ICD10-CM	S63.212A	Subluxation of metacarpophalangeal joint of right middle finger, initial encounter	83401	S63212A	10000
ICD10-CM	M01.X42	Direct infection of left hand in infectious and parasitic diseases classified elsewhere	71144	M01X42	10000
ICD10-CM	H40.52X0	Glaucoma secondary to other eye disorders, left eye, stage unspecified	36570	H4052X0	10112
ICD10-CM	M99.13	Subluxation complex (vertebral) of lumbar region	83920	M9913	10000
ICD10-CM	G62.2	Polyneuropathy due to other toxic agents	3577	G622	10000
ICD10-CM	K57.4	Diverticulitis of both small and large intestine with perforation and abscess	5695	K5740	10113
ICD10-CM	I69.823	Fluency disorder following other cerebrovascular disease	43814	I69823	10000
ICD10-CM	S72.332A	Displaced oblique fracture of shaft of left femur, initial encounter for closed fracture	82101	S72332A	10000
ICD10-CM	M00.111	Pneumococcal arthritis, right shoulder	0412	M00111	10112
ICD10-CM	S51.859A	Open bite of unspecified forearm, initial encounter	88100	S51859A	10000
ICD10-CM	S22.39XA	Fracture of one rib, unspecified side, initial encounter for closed fracture	80701	S2239XA	10000
ICD10-CM	S88.912S	Complete traumatic amputation of left lower leg, level unspecified, sequela	9059	S88912S	10000
ICD10-CM	S12.400S	Unspecified displaced fracture of fifth cervical vertebra, sequela	9051	S12400S	10000
ICD10-CM	H25.13	Age-related nuclear cataract, bilateral	36616	H2513	10000
ICD10-CM	C74.02	Malignant neoplasm of cortex of left adrenal gland	1940	C7402	10000
ICD10-CM	S56.511A	Strain of other extensor muscle, fascia and tendon at forearm level, right arm, initial encounter	8419	S56511A	10000
ICD10-CM	M47.819	Spondylosis without myelopathy or radiculopathy, site unspecified	72190	M47819	10000
ICD10-CM	Z45.321	Encounter for adjustment and management of cochlear device	V5309	Z45321	10000
ICD10-CM	M25.46	Effusion, knee	71906	M25469	10000
ICD10-CM	H04.119	Dacryops of unspecified lacrimal gland	37511	H04119	10000
ICD10-CM	M96.4	Postsurgical lordosis	73721	M964	10000
ICD10-CM	S68.116D	Complete traumatic metacarpophalangeal amputation of right little finger, subsequent encounter	V5889	S68116D	10000
ICD10-CM	C84.A8	Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites	20288	C84A8	10000
ICD10-CM	Z79.01	Long term (current) use of anticoagulants	V5861	Z7901	00000
ICD10-CM	I25.708	Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris	4139	I25708	10112
ICD10-CM	H05.343	Enlargement of bilateral orbits	37646	H05343	10000
ICD10-CM	Z67.91	Unspecified blood type, Rh negative	NoDx	Z6791	11000
ICD10-CM	X05.XXXA	Exposure to ignition or melting of nightwear, initial encounter	E8930	X05XXXA	10000
ICD10-CM	V49.09XD	Driver injured in collision with other motor vehicles in nontraffic accident, subsequent encounter	E8220	V4909XD	10000
ICD10-CM	M41.05	Infantile idiopathic scoliosis, thoracolumbar region	73731	M4105	10000
ICD10-CM	S35.228A	Other injury of superior mesenteric artery, initial encounter	90226	S35228A	10000
ICD10-CM	N37	Urethral disorders in diseases classified elsewhere	59801	N37	10000
ICD10-CM	S79.101D	Unspecified physeal fracture of lower end of right femur, subsequent encounter for fracture with routine healing	V5415	S79101D	10000
ICD10-CM	T38.2X5S	Adverse effect of antithyroid drugs, sequela	9095	T382X5S	10111
ICD10-CM	S75.001A	Unspecified injury of femoral artery, right leg, initial encounter	9041	S75001A	10000
ICD10-CM	H73.001	Acute myringitis, right ear	38400	H73001	10000
ICD10-CM	S82.242S	Displaced spiral fracture of shaft of left tibia, sequela	9054	S82242S	10000
ICD10-CM	M71.111	Other infective bursitis, right shoulder	7273	M71111	10000
ICD10-CM	M21.249	Flexion deformity, unspecified finger joints	73689	M21249	10000
ICD10-CM	J84.2	Lymphoid interstitial pneumonia	51635	J842	00000
ICD10-CM	J35.1	Hypertrophy of tonsils	47411	J351	00000
ICD10-CM	Z13.8	Encounter for screening for other specified diseases and disorders	V820	Z1389	10000
ICD10-CM	S35.12XA	Major laceration of inferior vena cava, initial encounter	90211	S3512XA	10000
ICD10-CM	S15.109A	Unspecified injury of unspecified vertebral artery, initial encounter	90089	S15109A	10000
ICD10-CM	S41.131S	Puncture wound without foreign body of right upper arm, sequela	9061	S41131S	10000
ICD10-CM	H21.1X1	Other vascular disorders of iris and ciliary body, right eye	36442	H211X1	10000
ICD10-CM	N47.0	Adherent prepuce, newborn	605	N470	10000
ICD10-CM	S05.32XA	Ocular laceration without prolapse or loss of intraocular tissue, left eye, initial encounter	8710	S0532XA	10000
ICD10-CM	T23.421D	Corrosion of unspecified degree of single right finger (nail) except thumb, subsequent encounter	V5889	T23421D	10000
ICD10-CM	T22.10XA	Burn of first degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter	94310	T2210XA	10000
ICD10-CM	H60.339	Swimmer's ear, unspecified ear	38012	H60339	10000
ICD10-CM	S72.433A	Displaced fracture of medial condyle of unspecified femur, initial encounter for closed fracture	82121	S72433A	10000
ICD10-CM	Q68.2	Congenital deformity of knee	75564	Q682	10000
ICD10-CM	M24.411	Recurrent dislocation, right shoulder	71831	M24411	10000
ICD10-CM	V20.0XXA	Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter	E8222	V200XXA	10000
ICD10-CM	K08.9	Disorder of teeth and supporting structures, unspecified	5259	K089	00000
ICD10-CM	R15.9	Full incontinence of feces	78760	R159	00000
ICD10-CM	S82.452B	Displaced comminuted fracture of shaft of left fibula, initial encounter for open fracture type I or II	82331	S82452B	10000
ICD10-CM	I70.235	Atherosclerosis of native arteries of right leg with ulceration of other part of foot	44023	I70235	10111
ICD10-CM	S20.20XD	Contusion of thorax, unspecified, subsequent encounter	V5889	S2020XD	10000
ICD10-CM	F30.11	Manic episode without psychotic symptoms, mild	29601	F3011	10000
ICD10-CM	S63.509D	Unspecified sprain of unspecified wrist, subsequent encounter	V5889	S63509D	10000
ICD10-CM	L11.0	Acquired keratosis follicularis	7011	L110	10000
ICD10-CM	F10.229	Alcohol dependence with intoxication, unspecified	30303	F10229	10000
ICD10-CM	T22.391A	Burn of third degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter	94349	T22391A	10000
ICD10-CM	S31.143A	Puncture wound of abdominal wall with foreign body, right lower quadrant without penetration into peritoneal cavity, initial encounter	8795	S31143A	10000
ICD10-CM	N32.89	Other specified disorders of bladder	59689	N3289	10000
ICD10-CM	S22.070G	Wedge compression fracture of T9-T10 vertebra, subsequent encounter for fracture with delayed healing	V5417	S22070G	10000
ICD10-CM	L24.2	Irritant contact dermatitis due to solvents	6922	L242	00000
ICD10-CM	H61.391	Other acquired stenosis of right external ear canal	38050	H61391	10000
ICD10-CM	S92.492D	Other fracture of left great toe, subsequent encounter for fracture with routine healing	V5416	S92492D	10000
ICD10-CM	S14.154S	Other incomplete lesion at C4 level of cervical spinal cord, sequela	9072	S14154S	10000
ICD10-CM	A92.9	Mosquito-borne viral fever, unspecified	0669	A929	10000
ICD10-CM	N43.1	Infected hydrocele	6031	N431	00000
ICD10-CM	I77.6	Arteritis, unspecified	4476	I776	00000
ICD10-CM	O12.21	Gestational edema with proteinuria, first trimester	64611	O1221	10111
ICD10-CM	T67.2XXA	Heat cramp, initial encounter	9922	T672XXA	10000
ICD10-CM	S31.119D	Laceration without foreign body of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, subsequent encounter	V5889	S31119D	10000
ICD10-CM	M05.662	Rheumatoid arthritis of left knee with involvement of other organs and systems	7142	M05662	10000
ICD10-CM	K21.0	Gastro-esophageal reflux disease with esophagitis	53011	K210	00000
ICD10-CM	F51.13	Hypersomnia due to other mental disorder	32715	F5113	10000
ICD10-CM	J95.860	Postprocedural hematoma of a respiratory system organ or structure following a respiratory system procedure	99812	J95860	10000
ICD10-CM	S42.253K	Displaced fracture of greater tuberosity of unspecified humerus, subsequent encounter for fracture with nonunion	73382	S42253K	10000
ICD10-CM	T20.34XA	Burn of third degree of nose (septum), initial encounter	94135	T2034XA	10000
ICD10-CM	T20.33XD	Burn of third degree of chin, subsequent encounter	V5889	T2033XD	10000
ICD10-CM	O44.23	Partial placenta previa NOS or without hemorrhage, third trimester	64101	O4423	10000
ICD10-CM	H61.93	Disorder of external ear, unspecified, bilateral	3809	H6193	10000
ICD10-CM	F05	Delirium due to known physiological condition	2931	F05	10000
ICD10-CM	M08.952	Juvenile arthritis, unspecified, left hip	71430	M08952	10000
ICD10-CM	D70.3	Neutropenia due to infection	28804	D703	00000
ICD10-CM	S42.342G	Displaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing	V5411	S42342G	10000
ICD10-CM	E13.3411	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye	25050	E133411	10111
ICD10-CM	F25.1	Schizoaffective disorder, depressive type	29570	F251	10000
ICD10-CM	Q62.10	Congenital occlusion of ureter, unspecified	75329	Q6210	10000
ICD10-CM	T82.857A	Stenosis of other cardiac prosthetic devices, implants and grafts, initial encounter	99672	T82857A	10000
ICD10-CM	C81.72	Other Hodgkin lymphoma, intrathoracic lymph nodes	20122	C8172	10000
ICD10-CM	S42.213D	Unspecified displaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing	V5411	S42213D	10000
ICD10-CM	T14.90	Injury, unspecified	9599	T1490XA	10000
ICD10-CM	S42.201G	Unspecified fracture of upper end of right humerus, subsequent encounter for fracture with delayed healing	V5411	S42201G	10000
ICD10-CM	H53.63	Congenital night blindness	36861	H5363	00000
ICD10-CM	S55.111A	Laceration of radial artery at forearm level, right arm, initial encounter	9032	S55111A	10000
ICD10-CM	M1A.0421	Idiopathic chronic gout, left hand, with tophus (tophi)	27403	M1A0421	10000
ICD10-CM	M12.819	Other specific arthropathies, not elsewhere classified, unspecified shoulder	71641	M12819	10000
ICD10-CM	H11.013	Amyloid pterygium of eye, bilateral	37240	H11013	10000
ICD10-CM	M25.376	Other instability, unspecified foot	71887	M25376	10000
ICD10-CM	T23.352A	Burn of third degree of left palm, initial encounter	94435	T23352A	10000
ICD10-CM	I69.90	Unspecified sequelae of unspecified cerebrovascular disease	4389	I6990	10000
ICD10-CM	G40.B09	Juvenile myoclonic epilepsy, not intractable, without status epilepticus	34580	G40B09	10000
ICD10-CM	I25.720	Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris	4111	I25720	10112
ICD10-CM	T84.82XA	Fibrosis due to internal orthopedic prosthetic devices, implants and grafts, initial encounter	99678	T8482XA	10000
ICD10-CM	G82.50	Quadriplegia, unspecified	34409	G8250	10000
ICD10-CM	H60.62	Unspecified chronic otitis externa, left ear	38023	H6062	10000
ICD10-CM	C69.51	Malignant neoplasm of right lacrimal gland and duct	1902	C6951	10000
ICD10-CM	S82.309D	Unspecified fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with routine healing	V5416	S82309D	10000
ICD10-CM	T82.514A	Breakdown (mechanical) of infusion catheter, initial encounter	9961	T82514A	10000
ICD10-CM	S42.409G	Unspecified fracture of lower end of unspecified humerus, subsequent encounter for fracture with delayed healing	V5411	S42409G	10000
ICD10-CM	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side	43851	I69161	10000
ICD10-CM	S72.411P	Displaced unspecified condyle fracture of lower end of right femur, subsequent encounter for closed fracture with malunion	73381	S72411P	10000
ICD10-CM	S52.352A	Displaced comminuted fracture of shaft of radius, left arm, initial encounter for closed fracture	81321	S52352A	10000
ICD10-CM	W13.2XXA	Fall from, out of or through roof, initial encounter	E882	W132XXA	10000
ICD10-CM	H40.50X4	Glaucoma secondary to other eye disorders, unspecified eye, indeterminate stage	36561	H4050X4	10111
ICD10-CM	E13.37X1	Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye	24950	E1337X1	10000
ICD10_CA	R53	Malaise and fatigue	78079	R530	10000
ICD10-CM	S00.35XS	Superficial foreign body of nose, sequela	9062	S0035XS	10000
ICD10-CM	C40.12	Malignant neoplasm of short bones of left upper limb	1705	C4012	10000
ICD10-CM	S72.112K	Displaced fracture of greater trochanter of left femur, subsequent encounter for closed fracture with nonunion	73382	S72112K	10000
ICD10-CM	S42.226G	2-part nondisplaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with delayed healing	V5411	S42226G	10000
ICD10-CM	Z46.4	Encounter for fitting and adjustment of orthodontic device	V534	Z464	10000
ICD10-CM	H70.202	Unspecified petrositis, left ear	38320	H70202	10000
ICD10-CM	T84.50XS	Infection and inflammatory reaction due to unspecified internal joint prosthesis, sequela	9093	T8450XS	10000
ICD10-CM	Z91.410	Personal history of adult physical and sexual abuse	V1541	Z91410	10000
ICD10-CM	S22.41XD	Multiple fractures of ribs, right side, subsequent encounter for fracture with routine healing	V5419	S2241XD	10000
ICD10-CM	O41.1030	Infection of amniotic sac and membranes, unspecified, third trimester, not applicable or unspecified	65841	O411030	10000
ICD10-CM	L01.02	Bockhart's impetigo	684	L0102	10000
ICD10-CM	M24.562	Contracture, left knee	71846	M24562	10000
ICD10-CM	V29.9XXS	Motorcycle rider (driver) (passenger) injured in unspecified traffic accident, sequela	E9290	V299XXS	10000
ICD10-CM	T84.022A	Instability of internal right knee prosthesis, initial encounter	99642	T84022A	10000
ICD10-CM	S32.592G	Other specified fracture of left pubis, subsequent encounter for fracture with delayed healing	V5413	S32592G	10000
ICD10-CM	H35.443	Age-related reticular degeneration of retina, bilateral	36264	H35443	10000
ICD10-CM	S56.821S	Laceration of other muscles, fascia and tendons at forearm level, right arm, sequela	9061	S56821S	10000
ICD10-CM	M76.02	Gluteal tendinitis, left hip	7265	M7602	10000
ICD10-CM	H25.11	Age-related nuclear cataract, right eye	36616	H2511	10000
ICD10-CM	S81.819S	Laceration without foreign body, unspecified lower leg, sequela	9061	S81819S	10000
ICD10-CM	M87.851	Other osteonecrosis, right femur	73342	M87851	10000
ICD10-CM	T76.31XS	Adult psychological abuse, suspected, sequela	9099	T7631XS	10000
ICD10-CM	S92.212A	Displaced fracture of cuboid bone of left foot, initial encounter for closed fracture	82523	S92212A	10000
ICD10-CM	S93.421D	Sprain of deltoid ligament of right ankle, subsequent encounter	V5889	S93421D	10000
ICD10-CM	F15.122	Other stimulant abuse with intoxication with perceptual disturbance	29289	F15122	10000
ICD10-CM	F15.10	Other stimulant abuse, uncomplicated	30572	F1510	10000
ICD10-CM	M86.39	Chronic multifocal osteomyelitis, multiple sites	73019	M8639	10000
ICD10-CM	H11.219	Conjunctival adhesions and strands (localized), unspecified eye	37262	H11219	10000
ICD10-CM	D09.9	Carcinoma in situ, unspecified	2349	D099	00000
ICD10-CM	S60.414A	Abrasion of right ring finger, initial encounter	9150	S60414A	10000
ICD10-CM	S92.902D	Unspecified fracture of left foot, subsequent encounter for fracture with routine healing	V5416	S92902D	10000
ICD10-CM	H16.209	Unspecified keratoconjunctivitis, unspecified eye	37040	H16209	10000
ICD10-CM	W55.39XA	Other contact with other hoof stock, initial encounter	E9068	W5539XA	10000
ICD10-CM	C77.9	Secondary and unspecified malignant neoplasm of lymph node, unspecified	1969	C779	00000
ICD10-CM	M25.86	Other specified joint disorders, knee	71986	M25869	10000
ICD10-CM	T50.7X2A	Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter	9700	T507X2A	10111
ICD10-CM	L03.049	Acute lymphangitis of unspecified toe	68110	L03049	10000
ICD10-CM	F11.220	Opioid dependence with intoxication, uncomplicated	2922	F11220	10111
ICD10-CM	S82.111D	Displaced fracture of right tibial spine, subsequent encounter for closed fracture with routine healing	V5416	S82111D	10000
ICD10-CM	T49.6X5A	Adverse effect of otorhinolaryngological drugs and preparations, initial encounter	E9466	T496X5A	10112
ICD10-CM	J20.1	Acute bronchitis due to Hemophilus influenzae	4660	J201	10111
ICD10-CM	I50.31	Acute diastolic (congestive) heart failure	4280	I5031	10112
ICD10-CM	T23.042D	Burn of unspecified degree of multiple left fingers (nail), including thumb, subsequent encounter	V5889	T23042D	10000
ICD10-CM	T24.221A	Burn of second degree of right knee, initial encounter	94525	T24221A	10000
ICD10-CM	F19.10	Other psychoactive substance abuse, uncomplicated	30581	F1910	10000
ICD10-CM	P29.9	Cardiovascular disorder originating in the perinatal period, unspecified	77989	P299	10000
ICD10-CM	S82.109S	Unspecified fracture of upper end of unspecified tibia, sequela	9054	S82109S	10000
ICD10-CM	Z16.23	Resistance to quinolones and fluoroquinolones	V0951	Z1623	10000
ICD10-CM	T63.511A	Toxic effect of contact with stingray, accidental (unintentional), initial encounter	E9056	T63511A	10112
